Id,packedCAP
0with0,0.7900900539789428
0with1,0.554078469537738
0with2,0.4323243758666627
0with3,0.20081654456654455
0with4,0.22465962441887244
0with5,0.3611904761904762
0with6,0.3936689709683221
0with7,0.7450412127831484
0with8,0.1156421842267203
0with9,0.20106032958077755
0with10,0.12446864478114478
0with11,0.7624289833955241
0with12,0.42750263965956775
0with13,0.3979219258187523
0with14,0.2781542143652144
0with15,0.07355222213516786
0with16,0.12393104501301823
0with17,0.2649595941838279
0with18,0.6818431372549021
0with19,0.33302066350352294
1with0,0.48780033844834503
1with1,0.44666597424179466
1with2,0.6882504463773813
1with3,0.10780143192762441
1with4,0.055329021249286736
1with5,0.43670053755533933
1with6,0.32038525891757785
1with7,0.8030827273438111
1with8,0.08074071843323741
1with9,0.2972464053561614
1with10,0.29962225071637283
1with11,0.7341413235363419
1with12,0.529222492465008
1with13,0.5598024568151999
1with14,0.21677097400533568
1with15,0.0909864491705737
1with16,0.2608702058479066
1with17,0.3018185808735347
1with18,0.7149131095905288
1with19,0.29166741125834983
2with0,0.6179738562091504
2with1,0.48099531235496146
2with2,0.3910985938743656
2with3,0.2254424562890455
2with4,0.09725787284610812
2with5,0.4891361349301963
2with6,0.3904113705330522
2with7,0.8623860280546326
2with8,0.11508273691206178
2with9,0.3909390049782139
2with10,0.32423947073069875
2with11,0.6467254866263411
2with12,0.3983486510859855
2with13,0.520203638951619
2with14,0.21903222126943597
2with15,0.16121318633968593
2with16,0.09536655697548435
2with17,0.3702957103278026
2with18,0.8019875776397516
2with19,0.28672326287104527
3with0,0.3540860362492241
3with1,0.4437457031900789
3with2,0.28505445055576945
3with3,0.18523242591433656
3with4,0.09540229885057472
3with5,0.7192966008877203
3with6,0.2632496501073824
3with7,0.6673943354028535
3with8,0.10469189420183914
3with9,0.13529164535122823
3with10,0.23487171775073476
3with11,0.725988188402279
3with12,0.30235311917277574
3with13,0.3410407572031781
3with14,0.23213878529901494
3with15,0.10015457527860673
3with16,0.16576937175943396
3with17,0.347140288941976
3with18,0.7624216236284134
3with19,0.31017890474263154
4with0,0.49029349967647423
4with1,0.36822777585330924
4with2,0.3881159187762679
4with3,0.10481922631891671
4with4,0.20766710640879438
4with5,0.5565871070150039
4with6,0.310854641262358
4with7,0.8679278416347381
4with8,0.08554957873524148
4with9,0.18063502212479193
4with10,0.29047619047619044
4with11,0.7134497652675273
4with12,0.40291659489019044
4with13,0.39295108609192014
4with14,0.2354982562353452
4with15,0.08601599655164792
4with16,0.012247467237653402
4with17,0.3650200240705966
4with18,0.6479532163742691
4with19,0.333808094050969
5with0,0.4990857573983392
5with1,0.5058886680129087
5with2,0.31885623636468824
5with3,0.31921344233894705
5with4,0.08680033764394571
5with5,0.30496110018625544
5with6,0.3823008219428801
5with7,0.8363786536845728
5with8,0.13448306886871478
5with9,0.39642376886958935
5with10,0.1802679682212317
5with11,0.5173775983943002
5with12,0.5035874173457106
5with13,0.6874493244645096
5with14,0.19640714422758965
5with15,0.07910846052218318
5with16,0.6
5with17,0.28450694283028105
5with18,0.6309043361383825
5with19,0.3983856626541372
6with0,0.5536257412964908
6with1,0.4011277667672084
6with2,0.3954581165799653
6with3,0.16524268022941765
6with4,0.09114742077549208
6with5,0.36130536130536134
6with6,0.25972075160705005
6with7,0.779601726802392
6with8,0.09901573451034287
6with9,0.4813306576249367
6with10,0.15937462704379998
6with11,0.7968107176054076
6with12,0.43158813179858907
6with13,0.47972340739169794
6with14,0.23566917848029129
6with15,0.09294504279702366
6with16,0.31323152156485484
6with17,0.3867301083613555
6with18,0.6943167892156864
6with19,0.27093046336097226
7with0,0.7098721067374318
7with1,0.3696396499090579
7with2,0.5726191484417101
7with3,0.1943805320341679
7with4,0.007228179351914613
7with5,0.49497557997557995
7with6,0.34043231197247015
7with7,0.8483041800114964
7with8,0.1138941355174842
7with9,0.2728265525883805
7with10,0.16504350139872806
7with11,0.623090045662361
7with12,0.42773813640605096
7with13,0.4858561051275506
7with14,0.20615149989952028
7with15,0.1166194995897079
7with16,0.14965180724666105
7with17,0.3109734136189023
7with18,0.6598416917715164
7with19,0.2610079912509579
8with0,0.4641025641025641
8with1,0.18704832663386178
8with2,0.4320462710826732
8with3,0.20923423423423423
8with4,0.06259673214748232
8with5,0.48884770484770484
8with6,0.30729904038247674
8with7,0.7305999367926721
8with8,0.022706835754727064
8with9,0.2858499525166192
8with10,0.16050781781507917
8with11,0.7120156435742324
8with12,0.2540743144123147
8with13,0.4908584038661969
8with14,0.22941385926897984
8with15,0.13323733461298895
8with16,0.13546940568287744
8with17,0.3980995550989723
8with18,0.7856137720613378
8with19,0.23292799353555876
9with0,0.38868003341687546
9with1,0.2557633116161169
9with2,0.41254139452686406
9with3,0.08164139006763303
9with4,0.14041186293916724
9with5,0.555799062049062
9with6,0.28878243873771076
9with7,0.7250211813120312
9with8,0.09445793711249519
9with9,0.3479175041228612
9with10,0.24629307661762023
9with11,0.747020946362207
9with12,0.6407267117326696
9with13,0.2607292234951809
9with14,0.22808006521138702
9with15,0.015747006767308693
9with16,0.19745307460361222
9with17,0.40065455781027814
9with18,0.761366557419189
9with19,0.3719184647541892
